id,season,games_played,pt_diff,win,result_ATS_avg,pts_roll_1,opp_pts_roll_1,fg_roll_1,fga_roll_1,fg%_roll_1,3p_roll_1,3pa_roll_1,3p%_roll_1,ft_roll_1,fta_roll_1,ft%_roll_1,orb_roll_1,trb_roll_1,ast_roll_1,stl_roll_1,blk_roll_1,tov_roll_1,pf_roll_1,ortg_roll_1,drtg_roll_1,pace_roll_1,ftr_roll_1,3par_roll_1,ts%_roll_1,trb%_roll_1,ast%_roll_1,stl%_roll_1,blk%_roll_1,efg%_roll_1,tov%_roll_1,orb%_roll_1,ft/fga_roll_1,drb%_roll_1,pt_diff_roll_1,away_pts_roll_1,away_opp_pts_roll_1,away_fg_roll_1,away_fga_roll_1,away_fg%_roll_1,away_3p_roll_1,away_3pa_roll_1,away_3p%_roll_1,away_ft_roll_1,away_fta_roll_1,away_ft%_roll_1,away_orb_roll_1,away_trb_roll_1,away_ast_roll_1,away_stl_roll_1,away_blk_roll_1,away_tov_roll_1,away_pf_roll_1,away_ortg_roll_1,away_drtg_roll_1,away_pace_roll_1,away_ftr_roll_1,away_3par_roll_1,away_ts%_roll_1,away_trb%_roll_1,away_ast%_roll_1,away_stl%_roll_1,away_blk%_roll_1,away_efg%_roll_1,away_tov%_roll_1,away_orb%_roll_1,away_ft/fga_roll_1,away_drb%_roll_1,away_pt_diff_roll_1,nrtg_roll_1,away_nrtg_roll_1,average_home_ML,average_away_ML,consec_away,away_consec_away,days_since_last,away_days_since_last,back2back,away_back2back
2021-03-10_MEM_WAS,2021,33,15,1,1,111.0,112.0,40.0,101.0,0.3959999999999999,8.0,34.0,0.2349999999999996,23.0,24.0,0.9580000000000002,17.0,56.0,21.0,13.0,8.0,12.0,20.0,106.50000000000007,107.5,104.20000000000007,0.23800000000000016,0.33700000000000035,0.49700000000000105,51.90000000000001,52.5,12.499999999999998,13.099999999999993,0.4359999999999997,9.699999999999989,30.40000000000001,0.2280000000000001,74.99999999999996,-1.0,119.0,117.0,40.0,88.0,0.4550000000000003,9.0,23.0,0.3910000000000001,30.0,42.0,0.7140000000000002,11.0,41.0,20.0,12.0,3.0,9.0,24.0,119.29999999999997,117.29999999999997,99.79999999999997,0.4770000000000004,0.261,0.5590000000000004,47.70000000000003,49.99999999999999,12.0,6.4,0.5060000000000003,7.799999999999998,23.89999999999999,0.34099999999999986,74.99999999999997,2.0,-0.9999999999999291,2.0,-149.88888888888889,131.66666666666666,0,1,6,6,0,0
2021-03-12_MEM_DEN,2021,34,-1,0,1,127.0,112.0,50.0,99.0,0.5049999999999999,8.0,23.0,0.34799999999999953,19.0,29.0,0.6550000000000002,14.0,60.0,31.0,4.0,6.0,15.0,26.0,116.7000000000001,102.89999999999998,108.90000000000008,0.2930000000000001,0.2320000000000004,0.5680000000000007,60.6,62.0,3.6999999999999993,10.19999999999999,0.5449999999999997,11.79999999999999,29.80000000000002,0.1920000000000001,88.49999999999994,15.0,113.0,103.0,45.0,77.0,0.5839999999999995,12.0,28.0,0.429,11.0,16.0,0.6879999999999997,6.0,41.0,27.0,6.0,5.0,19.0,13.0,117.99999999999994,107.4999999999999,95.8000000000001,0.20800000000000013,0.36400000000000016,0.6719999999999996,54.70000000000002,59.99999999999997,6.299999999999995,9.800000000000011,0.6619999999999996,18.399999999999984,20.699999999999992,0.14299999999999985,76.09999999999981,10.0,13.800000000000123,10.500000000000043,124.33333333333331,-142.55555555555554,0,5,2,8,0,0
2021-03-17_MEM_MIA,2021,37,4,1,1,99.0,122.0,38.0,87.0,0.4370000000000001,5.0,23.0,0.2169999999999996,18.0,26.0,0.6920000000000003,10.0,39.0,15.0,11.0,0.0,10.0,17.0,101.70000000000007,125.29999999999994,97.40000000000006,0.2990000000000001,0.26400000000000035,0.5030000000000008,48.1,39.50000000000001,11.3,0.0,0.4659999999999995,9.199999999999989,21.30000000000001,0.20700000000000016,85.29999999999994,-23.0,113.0,98.0,42.0,85.0,0.4939999999999993,10.0,27.0,0.3700000000000001,19.0,21.0,0.9050000000000012,16.0,48.0,30.0,11.0,5.0,13.0,18.0,126.40000000000008,109.60000000000008,89.39999999999998,0.2470000000000005,0.31799999999999984,0.6000000000000001,53.30000000000002,71.40000000000008,12.3,9.8,0.5530000000000009,12.099999999999984,37.2,0.2240000000000001,68.1,15.0,-23.599999999999863,16.799999999999994,-14.555555555555555,-114.33333333333331,0,1,2,1,0,1
2021-03-19_MEM_GSW,2021,38,-13,0,0,89.0,85.0,30.0,85.0,0.3529999999999998,10.0,42.0,0.2379999999999996,19.0,25.0,0.7600000000000003,8.0,50.0,22.0,5.0,4.0,9.0,17.0,93.10000000000008,88.89999999999996,95.60000000000004,0.2940000000000001,0.4940000000000003,0.4640000000000008,49.49999999999999,73.30000000000003,5.199999999999998,7.299999999999986,0.4119999999999994,8.59999999999999,15.700000000000017,0.2240000000000001,83.99999999999993,4.0,108.0,94.0,41.0,90.0,0.4559999999999997,16.0,45.0,0.3559999999999998,10.0,12.0,0.833,6.0,48.0,32.0,7.0,4.0,12.0,26.0,105.89999999999998,92.19999999999992,101.99999999999987,0.1329999999999999,0.5,0.5670000000000008,50.00000000000002,78.0000000000001,6.900000000000004,7.5,0.5440000000000004,11.199999999999992,13.0,0.111,84.00000000000003,14.0,4.2000000000001165,13.70000000000006,-259.0,219.77777777777771,0,2,2,2,0,0
2021-03-20_MEM_GSW,2021,39,8,1,1,103.0,116.0,39.0,84.0,0.4639999999999999,8.0,26.0,0.3079999999999996,17.0,21.0,0.8100000000000003,9.0,46.0,24.0,10.0,6.0,20.0,17.0,100.60000000000004,113.29999999999993,102.40000000000006,0.2500000000000001,0.3100000000000003,0.5520000000000009,51.69999999999999,61.50000000000002,9.8,11.999999999999993,0.5119999999999996,17.69999999999999,20.500000000000018,0.20200000000000007,82.19999999999993,-13.0,116.0,103.0,44.0,91.0,0.4839999999999997,15.0,41.0,0.3659999999999997,13.0,18.0,0.722,8.0,43.0,31.0,13.0,6.0,13.0,16.0,113.29999999999998,100.59999999999992,102.39999999999986,0.1979999999999999,0.4510000000000001,0.5860000000000009,48.30000000000001,70.5000000000001,12.7,10.3,0.5660000000000003,11.59999999999999,17.8,0.14300000000000002,79.50000000000003,13.0,-12.699999999999891,12.70000000000006,-254.5555555555556,216.0,0,3,1,1,1,1
2021-03-22_MEM_BOS,2021,40,6,1,1,111.0,103.0,37.0,95.0,0.3889999999999999,10.0,32.0,0.3129999999999996,27.0,31.0,0.8710000000000002,13.0,60.0,25.0,8.0,5.0,12.0,22.0,105.60000000000004,97.99999999999993,105.20000000000007,0.3260000000000001,0.33700000000000024,0.511000000000001,56.59999999999998,67.60000000000002,7.599999999999998,10.199999999999989,0.4419999999999995,9.899999999999988,25.00000000000001,0.2840000000000001,86.99999999999994,8.0,112.0,96.0,40.0,88.0,0.4549999999999997,23.0,55.0,0.4179999999999995,9.0,9.0,1.0000000000000002,7.0,45.0,27.0,6.0,3.0,9.0,21.0,122.1,104.69999999999996,91.7000000000001,0.10199999999999987,0.6249999999999996,0.6089999999999987,50.6,67.49999999999997,6.500000000000004,5.999999999999997,0.5850000000000005,8.900000000000002,16.699999999999992,0.10200000000000016,80.9,16.0,7.600000000000107,17.400000000000034,-186.3333333333333,163.33333333333334,0,1,2,1,0,1
2021-03-31_MEM_UTA,2021,45,-4,0,1,120.0,110.0,46.0,85.0,0.5409999999999998,11.0,31.0,0.35499999999999954,17.0,24.0,0.7080000000000003,7.0,47.0,31.0,8.0,4.0,16.0,18.0,116.30000000000004,106.59999999999992,103.20000000000006,0.282,0.36500000000000027,0.6280000000000011,52.79999999999998,67.40000000000003,7.799999999999995,7.699999999999987,0.6059999999999994,14.299999999999995,17.900000000000013,0.20000000000000007,79.9999999999999,10.0,114.0,75.0,38.0,82.0,0.4630000000000005,19.0,41.0,0.4629999999999998,19.0,23.0,0.8260000000000005,9.0,55.0,29.0,6.0,5.0,12.0,14.0,122.49999999999993,80.59999999999994,92.99999999999993,0.28000000000000025,0.5000000000000001,0.6190000000000002,57.899999999999984,76.29999999999997,6.4,10.2,0.5790000000000002,11.499999999999995,20.899999999999963,0.232,88.50000000000004,39.0,9.700000000000117,41.89999999999999,193.5555555555556,-227.66666666666663,0,1,2,2,0,0
2021-04-02_MEM_MIN,2021,46,12,1,1,107.0,111.0,42.0,90.0,0.4669999999999998,5.0,18.0,0.2779999999999996,18.0,23.0,0.7830000000000001,11.0,46.0,23.0,10.0,4.0,11.0,20.0,108.20000000000006,112.1999999999999,98.90000000000008,0.2560000000000001,0.2000000000000003,0.5340000000000013,49.99999999999999,54.80000000000002,10.099999999999994,9.999999999999991,0.4939999999999994,9.899999999999997,23.90000000000001,0.20000000000000007,76.09999999999991,-4.0,102.0,101.0,36.0,87.0,0.41400000000000015,14.0,40.0,0.3500000000000001,16.0,19.0,0.8420000000000006,9.0,40.0,25.0,9.0,8.0,12.0,14.0,106.50000000000007,105.49999999999994,95.80000000000008,0.2180000000000001,0.4600000000000004,0.5349999999999993,49.39999999999999,69.40000000000008,9.399999999999997,13.600000000000005,0.494,11.200000000000005,20.899999999999988,0.18400000000000005,81.59999999999997,1.0,-3.999999999999844,1.000000000000128,-268.77777777777777,226.3333333333333,0,1,2,2,0,0
2021-01-03_CHI_DAL,2021,7,10,1,1,96.0,126.0,38.0,87.0,0.4370000000000003,6.0,26.0,0.2310000000000001,14.0,20.0,0.7,6.0,42.0,18.0,10.0,6.0,20.0,21.0,88.70000000000002,116.49999999999996,108.20000000000002,0.23,0.29899999999999993,0.5009999999999999,48.80000000000001,47.40000000000001,9.2,15.0,0.47100000000000003,17.3,13.300000000000008,0.161,87.80000000000004,-30.0,93.0,83.0,32.0,78.0,0.4099999999999999,12.0,37.0,0.3240000000000001,17.0,23.0,0.7389999999999999,4.0,49.0,18.0,9.0,3.0,16.0,25.0,95.4,85.10000000000002,97.5,0.29500000000000004,0.474,0.5279999999999998,54.39999999999999,56.3,9.2,6.6999999999999975,0.4869999999999999,15.4,10.0,0.21799999999999994,90.0,10.0,-27.799999999999944,10.299999999999985,154.14285714285714,-173.66666666666663,0,1,2,2,0,0
2021-01-23_CHI_LAL,2021,16,-11,0,0,123.0,110.0,49.0,96.0,0.5100000000000005,15.0,43.0,0.3489999999999999,10.0,12.0,0.833,15.0,43.0,33.0,11.0,4.0,14.0,21.0,122.00000000000007,109.1,100.8,0.12499999999999994,0.448,0.6069999999999998,48.30000000000002,67.29999999999998,10.900000000000002,7.500000000000001,0.589,12.1,30.600000000000005,0.104,70.00000000000003,13.0,113.0,106.0,41.0,88.0,0.4660000000000002,19.0,37.0,0.514,12.0,15.0,0.7999999999999997,6.0,38.0,25.0,8.0,8.0,10.0,14.0,114.60000000000004,107.50000000000004,98.6,0.17000000000000004,0.4199999999999997,0.5969999999999993,45.19999999999999,61.0,8.099999999999996,13.6,0.5739999999999998,9.599999999999993,12.799999999999995,0.13600000000000007,86.49999999999994,7.0,12.900000000000073,7.099999999999994,394.71428571428567,-507.0,0,2,1,2,1,0
2021-01-25_CHI_BOS,2021,17,-16,0,0,90.0,101.0,33.0,84.0,0.3930000000000005,8.0,25.0,0.31999999999999995,16.0,22.0,0.7270000000000001,10.0,45.0,18.0,8.0,1.0,18.0,28.0,88.70000000000006,99.6,101.40000000000002,0.262,0.298,0.4799999999999998,51.70000000000003,54.49999999999999,7.900000000000004,1.7000000000000008,0.44,16.1,21.300000000000004,0.19000000000000009,87.50000000000004,-11.0,141.0,103.0,52.0,93.0,0.5589999999999999,14.0,28.0,0.4999999999999998,23.0,27.0,0.8519999999999999,13.0,55.0,26.0,14.0,8.0,15.0,23.0,136.10000000000002,99.39999999999996,103.60000000000002,0.2899999999999999,0.3009999999999999,0.6719999999999998,61.80000000000002,49.99999999999999,13.500000000000005,15.399999999999995,0.6339999999999999,12.5,36.10000000000001,0.24700000000000005,79.2,38.0,-10.899999999999936,36.70000000000006,144.11111111111111,-162.88888888888889,0,1,2,1,0,1
2021-01-30_CHI_POR,2021,18,-1,0,0,103.0,119.0,41.0,88.0,0.4660000000000004,17.0,39.0,0.436,4.0,10.0,0.4000000000000001,9.0,41.0,28.0,4.0,7.0,18.0,16.0,102.90000000000008,118.9,100.1,0.114,0.44299999999999995,0.5569999999999999,48.20000000000003,68.29999999999998,4.000000000000004,12.1,0.563,16.300000000000004,19.100000000000005,0.04500000000000004,84.20000000000005,-16.0,101.0,104.0,39.0,93.0,0.4189999999999995,17.0,41.0,0.41499999999999976,6.0,8.0,0.7500000000000002,10.0,49.0,16.0,6.0,7.0,15.0,16.0,102.10000000000002,105.20000000000002,98.90000000000002,0.08599999999999994,0.4409999999999998,0.5230000000000001,51.00000000000002,41.0,6.099999999999998,16.3,0.511,13.499999999999998,21.30000000000002,0.06499999999999992,79.60000000000002,-3.0,-15.999999999999929,-3.0999999999999943,-126.71428571428572,108.0,0,2,5,2,0,0
2021-02-01_CHI_NYK,2021,19,8,1,1,122.0,123.0,43.0,85.0,0.5060000000000004,21.0,45.0,0.467,15.0,15.0,1.0000000000000004,11.0,43.0,31.0,5.0,2.0,15.0,14.0,131.10000000000005,132.2,93.1,0.17600000000000005,0.5289999999999999,0.6659999999999998,55.10000000000004,72.09999999999998,5.400000000000004,4.3000000000000025,0.629,14.100000000000005,29.70000000000001,0.17600000000000005,78.00000000000004,-1.0,115.0,129.0,41.0,85.0,0.48200000000000004,10.0,27.0,0.3699999999999998,23.0,28.0,0.821,10.0,36.0,21.0,5.0,5.0,7.0,20.0,126.00000000000006,141.40000000000003,91.3,0.3289999999999999,0.3179999999999997,0.5910000000000005,48.59999999999998,51.20000000000003,5.500000000000007,11.599999999999998,0.5410000000000001,6.6999999999999975,24.39999999999999,0.271,78.80000000000005,-14.0,-1.0999999999999377,-15.399999999999974,-165.14285714285714,145.57142857142858,0,1,2,1,0,1
2021-02-03_CHI_NYK,2021,20,-4,0,0,110.0,102.0,42.0,88.0,0.4770000000000004,11.0,34.0,0.324,15.0,20.0,0.7500000000000004,7.0,40.0,30.0,3.0,1.0,12.0,19.0,113.00000000000006,104.8,97.29999999999998,0.22699999999999998,0.3859999999999999,0.5679999999999998,47.10000000000005,71.4,3.100000000000003,1.7000000000000028,0.54,11.000000000000005,17.100000000000005,0.17000000000000007,75.00000000000007,8.0,102.0,110.0,37.0,87.0,0.425,6.0,29.0,0.2069999999999997,22.0,26.0,0.8459999999999999,11.0,45.0,21.0,6.0,6.0,11.0,19.0,104.80000000000008,113.00000000000004,97.3,0.2989999999999999,0.3329999999999997,0.5180000000000005,52.89999999999997,56.80000000000002,6.200000000000006,11.099999999999996,0.4600000000000001,10.099999999999998,25.0,0.253,82.90000000000005,-8.0,8.20000000000006,-8.19999999999996,-116.0,-35.111111111111114,0,2,2,2,0,0
2021-02-12_CHI_LAC,2021,25,-19,0,0,129.0,116.0,48.0,81.0,0.5930000000000004,25.0,47.0,0.532,8.0,11.0,0.7270000000000003,7.0,35.0,36.0,4.0,6.0,16.0,20.0,138.00000000000006,124.1,93.4,0.13600000000000007,0.5800000000000001,0.7509999999999999,50.00000000000003,75.0,4.3000000000000025,13.300000000000004,0.7469999999999999,15.7,21.2,0.09900000000000003,75.70000000000005,13.0,119.0,112.0,41.0,82.0,0.5,12.0,23.0,0.5219999999999998,25.0,29.0,0.8619999999999998,11.0,48.0,23.0,9.0,4.0,15.0,20.0,121.39999999999998,114.3,98.0,0.354,0.2800000000000001,0.6279999999999997,52.7,56.09999999999995,9.199999999999996,7.399999999999998,0.5729999999999993,13.700000000000005,28.89999999999999,0.3050000000000001,69.80000000000004,7.0,13.900000000000064,7.099999999999981,265.3333333333333,-321.375,0,2,2,2,0,0
2021-02-17_CHI_DET,2021,27,3,1,1,120.0,112.0,44.0,102.0,0.4310000000000006,13.0,33.0,0.39399999999999996,19.0,22.0,0.8640000000000005,13.0,60.0,25.0,6.0,2.0,18.0,24.0,105.10000000000004,98.1,103.40000000000002,0.2160000000000001,0.3240000000000002,0.5370000000000001,56.100000000000016,56.8,5.300000000000003,3.4000000000000017,0.4949999999999998,13.900000000000004,25.0,0.18600000000000008,85.50000000000004,8.0,123.0,112.0,45.0,84.0,0.536,17.0,35.0,0.486,16.0,20.0,0.8000000000000009,9.0,37.0,34.0,3.0,8.0,11.0,23.0,134.80000000000004,122.70000000000002,91.3,0.2379999999999999,0.4169999999999999,0.6630000000000001,45.69999999999999,75.59999999999997,3.3000000000000003,14.499999999999998,0.6369999999999995,10.6,25.699999999999992,0.19,60.89999999999992,11.0,7.000000000000043,12.100000000000026,-144.22222222222226,126.11111111111113,0,1,2,3,0,0
